R1,R2,R3,Metal_NPA,d_cp-M,d_B-M,E_els,E_rep,LUMO,1-octene,Al/M,T,Mw
0.68381,1.01,1.50645,0.72498,2.02935,1.87841,-229.06,670.04,-5.750456,27,4,130,5.04
0.67704,2.17313,0.59116,0.57634,2.03646,1.89641,-248.54,784.67,-5.652077,96,300,150,1.43
0.30744,2.05405,0.30471,1.66119,2.18027,2.25654,-209.16,761.9,-5.556485,45,100,120,2.07
0.76313,2.11543,0.41349,0.80058,2.05907,1.88796,-222.82,655.33,-5.888226,192,600,80,2.02
1.12742,1.21825,0.56497,1.10179,1.99582,1.785,-216.84,632.96,-6.270978,800,25,90,1.86
0.67132,2.18049,0.45411,0.72582,2.03355,1.9315,-233.99,734.35,-6.3553196,32,1000,120,3.16
1.17344,1.01,1.14492,0.63198,2.01125,2.2854,-288.74,750.75,-6.483765,1000,1.2,30,1.71
0.67132,2.18049,0.45411,0.72582,2.03355,1.9315,-233.99,734.35,-6.3553196,51,1000,120,2.61
1.19067,1.01,0.97841,0.82853,2.00481,1.90663,-233.84,692.05,-5.592989,300,800,80,2.04
0.2966,2.05955,0.32388,1.65041,2.18256,2.24515,-212.21,769.05,-5.481747,45,100,120,1.64
0.73609,2.1247,0.43131,0.77077,2.04643,1.88747,-219.28,646.22,-6.069322,85,1000,80,0.78
1.16751,1.01,1.04167,0.89534,2.0491,1.78084,-264.26,799.16,-5.940979,5.3,4,25,1.47
1.07335,1.01,0.89287,1.04647,2.04763,1.79788,-267.51,804.14,-5.682841,5.3,4,25,0.89
1.14844,1.01,0.85767,1.02997,1.99696,1.92066,-251.94,770.56,-5.799611,300,1000,80,1.57
0.45812,2.11451,0.11866,1.63186,2.20012,2.06451,-239.49,726.46,-5.369427,312,1000,90,0.47
