R1,R2,R3,Metal_NPA,d_cp-M,d_B-M,E_els,E_rep,LUMO,1-octene,Al/M,T,OIR
0.76937,2.12595,0.21272,1.07049,2.02489,1.89706,-227.47,665.03,-5.544863,312,1000,90,26.3
0.38207,2.05197,0.37768,1.43269,2.2107,2.30467,-233.17,710.44,-5.66146,45,100,120,6
1.02223,1.39755,0.66713,0.90758,1.99931,1.93503,-248,785.4,-6.544651,800,25,90,20
1.07335,1.01,0.89287,1.04647,2.04763,1.79788,-267.51,804.14,-5.682841,5.3,4,25,27
1.18708,1.01,1.06447,0.93671,2.00149,1.91025,-257.8,798.13,-5.80083,300,800,80,24
1.19209,1.01,1.00826,0.81194,1.99562,1.90998,-264.24,828.37,-5.769842,300,800,80,14
0.67132,2.18049,0.45411,0.72582,2.03355,1.9315,-233.99,734.35,-6.3553196,76,1000,120,12.06
0.73609,2.1247,0.43131,0.77077,2.04643,1.88747,-219.28,646.22,-6.069322,85,1000,80,29
1.14099,1.01,0.84096,1.05378,1.99828,1.9119,-231.11,684.94,-5.625677,300,1000,80,22
1.1577,1.21512,0.82383,0.78383,2.03807,1.98676,-232.6,732.8,-5.957395,800,25,90,24
1.19411,1.01,0.9734,0.82245,1.99871,1.90778,-231.89,687.56,-5.697474,300,800,80,31
0.8124,1.12816,0.81905,1.33478,2.26745,2.27059,-241.13,735.79,-5.619613,60,2000,70,27.26
0.8124,1.12816,0.81905,1.33478,2.26745,2.27059,-241.13,735.79,-5.619613,43,2000,50,23.27
1.16751,1.01,1.04167,0.89534,2.0491,1.78084,-264.26,799.16,-5.940979,5.3,4,25,27.8
0.67132,2.18049,0.45411,0.72582,2.03355,1.9315,-233.99,734.35,-6.3553196,96,300,100,10.88
1.30128,1.01,1.5072,0.66925,2.02983,2.29691,-289.45,757.54,-6.286597,1000,1.2,30,12.6
0.67132,2.18049,0.45411,0.72582,2.03355,1.9315,-233.99,734.35,-6.3553196,32,1000,120,6.55
1.19067,1.01,0.97841,0.82853,2.00481,1.90663,-233.84,692.05,-5.592989,300,800,80,24
1.26117,1.01,1.06165,0.68696,2.01981,2.32941,-271.01,802.52,-6.325715,1000,1.2,60,5.1
